id_seqClient,id_client_prod,source_prod,CompanyName,City,Country
1,ALFKI,SQL SERVER,Alfreds Futterkiste,Berlin,Germany
2,ANATR,SQL SERVER,Ana Trujillo Emparedados y helados,México D.F.,Mexico
3,ANTON,SQL SERVER,Antonio Moreno Taquería,México D.F.,Mexico
4,AROUT,SQL SERVER,Around the Horn,London,UK
5,BERGS,SQL SERVER,Berglunds snabbköp,Luleå,Sweden
6,BLAUS,SQL SERVER,Blauer See Delikatessen,Mannheim,Germany
7,BLONP,SQL SERVER,Blondesddsl père et fils,Strasbourg,France
8,BOLID,SQL SERVER,Bólido Comidas preparadas,Madrid,Spain
9,BONAP,SQL SERVER,Bon app',Marseille,France
10,BOTTM,SQL SERVER,Bottom-Dollar Markets,Tsawassen,Canada
11,BSBEV,SQL SERVER,B's Beverages,London,UK
12,CACTU,SQL SERVER,Cactus Comidas para llevar,Buenos Aires,Argentina
13,CENTC,SQL SERVER,Centro comercial Moctezuma,México D.F.,Mexico
14,CHOPS,SQL SERVER,Chop-suey Chinese,Bern,Switzerland
15,COMMI,SQL SERVER,Comércio Mineiro,Sao Paulo,Brazil
16,CONSH,SQL SERVER,Consolidated Holdings,London,UK
17,DRACD,SQL SERVER,Drachenblut Delikatessen,Aachen,Germany
18,DUMON,SQL SERVER,Du monde entier,Nantes,France
19,EASTC,SQL SERVER,Eastern Connection,London,UK
20,ERNSH,SQL SERVER,Ernst Handel,Graz,Austria
21,FAMIA,SQL SERVER,Familia Arquibaldo,Sao Paulo,Brazil
22,FISSA,SQL SERVER,FISSA Fabrica Inter. Salchichas S.A.,Madrid,Spain
23,FOLIG,SQL SERVER,Folies gourmandes,Lille,France
24,FOLKO,SQL SERVER,Folk och fä HB,Bräcke,Sweden
25,FRANK,SQL SERVER,Frankenversand,München,Germany
26,FRANR,SQL SERVER,France restauration,Nantes,France
27,FRANS,SQL SERVER,Franchi S.p.A.,Torino,Italy
28,FURIB,SQL SERVER,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal
29,GALED,SQL SERVER,Galería del gastrónomo,Barcelona,Spain
30,GODOS,SQL SERVER,Godos Cocina Típica,Sevilla,Spain
